DateCollected,Species,Sex,Weight,Plot,Notes
7/16/2013,DM,F,,2,
7/16/2013,DM,M,33,7,
7/16/2013,DM,M,,3,
7/16/2013,DM,M,,1,
7/18/2013,DM,M,40,3,
7/18/2013,DM,M,48,7,
7/18/2013,DM,F,29,4,
7/18/2013,DM,F,46,4,
7/18/2013,DM,M,36,7,
7/18/2013,DM,F,35,7,
7/18/2013,DM,F,22,8,
7/18/2013,DM,F,42,7,
7/18/2013,DM,F,41,4,
7/18/2013,DM,F,37,6,
8/19/2013,DO,F,52,8,
10/17/2013,DO,F,33,3,
10/17/2013,DO,F,50,3,
10/17/2013,DO,F,48,17,
10/17/2013,DO,F,31,17,
10/18/2013,DO,F,41,8,
11/12/2013,DO,F,44,1,
11/12/2013,DO,M,48,1,
11/14/2013,DO,F,39,8,
12/10/2013,DO,F,40,9,
12/10/2013,DO,M,45,1,
12/11/2013,DO,F,41,8,
11/12/2013,DS,F,117,9,
11/12/2013,DS,F,121,1,
11/12/2013,DS,M,115,20,
11/12/2013,DS,F,120,9,
11/13/2013,DS,F,118,17,
11/13/2013,DS,F,126,11,
11/13/2013,DS,M,132,17,(scale not calibrated)
11/13/2013,DS,F,113,14,(scale not calibrated)
11/13/2013,DS,F,122,11,
11/13/2013,DS,F,107,4,
11/13/2013,DS,F,115,4,
1/9/2014,DM,M,40,1,
1/9/2014,DM,F,36,1,
1/9/2014,DS,F,135,1,
1/20/2014,DM,F,39,1,
1/20/2014,DM,M,43,1,
1/20/2014,DS,F,144,1,
3/13/2014,DM,F,51,1,
3/13/2014,DM,F,44,1,
3/13/2014,DS,F,146,1,
1/8/2014,NA,,,2,
1/8/2014,DM,M,44,2,
1/8/2014,DM,M,38,2,
1/8/2014,OL,,,2,
1/8/2014,PE,M,22,2,
1/8/2014,DM,M,38,2,
1/8/2014,DM,M,48,2,
1/8/2014,DM,M,43,2,
1/8/2014,DM,F,35,2,
1/8/2014,DM,M,43,2,
1/8/2014,DM,F,37,2,
1/8/2014,PF,F,7,2,
1/8/2014,DM,M,45,2,
1/8/2014,OT,,,2,
1/8/2014,DS,M,157,2,
1/8/2014,OX,,,2,
2/18/2014,NA,M,218,2,
2/18/2014,PF,F,7,2,
2/18/2014,DM,M,52,2,
1/8/2014,DM,F,37,4,
1/8/2014,DS,F,128,4,
1/8/2014,DM,F,42,4,
1/8/2014,DM,M,37,4,
1/8/2014,DM,M,,4,
1/8/2014,DM,F,48,4,
1/8/2014,DM,M,45,4,
1/8/2014,DM,F,42,4,
1/8/2014,DO,M,52,4,
1/8/2014,OL,M,35,4,
1/8/2015,PF,M,7,3,
2/18/2015,OT,M,24,3,
2/18/2015,OT,F,23,3,
3/11/2015,NA,M,232,3,
3/11/2015,OT,F,22,3,
3/11/2015,OT,M,26,3,
3/11/2015,PF,M,8,3,
4/8/2015,NA,F,,3,
5/6/2015,,,,3,
5/18/2015,NA,F,182,3,
6/9/2015,OT,F,29,3,
7/8/2015,NA,F,115,3,
7/8/2015,NA,M,190,3,
